;Closing value;;;Return vs prev. month;;;Excess return over 3%;
date;S&P 500;TSLA;;S&P 500;TSLA;;S&P 500;TSLA
01-09-23;4515,77;245,01;;0,18%;-5,06%;;-2,82%;-8,06%
01-08-23;4507,66;258,08;;-1,77%;-3,50%;;-4,77%;-6,50%
01-07-23;4588,96;267,43;;3,11%;2,16%;;0,11%;-0,84%
01-06-23;4450,38;261,77;;6,47%;28,36%;;3,47%;25,36%
01-05-23;4179,83;203,93;;0,25%;24,11%;;-2,75%;21,11%
01-04-23;4169,48;164,31;;1,46%;-20,80%;;-1,54%;-23,80%
01-03-23;4109,31;207,46;;3,51%;0,85%;;0,51%;-2,15%
01-02-23;3970,15;205,71;;-2,61%;18,76%;;-5,61%;15,76%
01-01-23;4076,6;173,22;;6,18%;40,62%;;3,18%;37,62%
01-12-22;3839,5;123,18;;-5,90%;-36,73%;;-8,90%;-39,73%
01-11-22;4080,11;194,7;;5,38%;-14,43%;;2,38%;-17,43%
01-10-22;3871,98;227,54;;7,99%;-14,22%;;4,99%;-17,22%
01-09-22;3585,62;265,25;;-9,34%;-3,76%;;-12,34%;-6,76%
01-08-22;3955;275,61;;-4,24%;-7,25%;;-7,24%;-10,25%
01-07-22;4130,29;297,15;;9,11%;32,38%;;6,11%;29,38%
01-06-22;3785,38;224,47;;-8,39%;-11,19%;;-11,39%;-14,19%
01-05-22;4132,15;252,75;;0,01%;-12,92%;;-2,99%;-15,92%
01-04-22;4131,93;290,25;;-8,80%;-19,20%;;-11,80%;-22,20%
01-03-22;4530,41;359,2;;3,58%;23,80%;;0,58%;20,80%
01-02-22;4373,94;290,14;;-3,14%;-7,08%;;-6,14%;-10,08%
01-01-22;4515,55;312,24;;-5,26%;-11,36%;;-8,26%;-14,36%
01-12-21;4766,18;352,26;;4,36%;-7,69%;;1,36%;-10,69%
01-11-21;4567;381,59;;-0,83%;2,76%;;-3,83%;-0,24%
01-10-21;4605,38;371,33;;6,91%;43,65%;;3,91%;40,65%
01-09-21;4307,54;258,49;;-4,76%;5,40%;;-7,76%;2,40%
01-08-21;4522,68;245,24;;2,90%;7,06%;;-0,10%;4,06%
01-07-21;4395,26;229,07;;2,27%;1,10%;;-0,73%;-1,90%
01-06-21;4297,5;226,57;;2,22%;8,71%;;-0,78%;5,71%
01-05-21;4204,11;208,41;;0,55%;-11,87%;;-2,45%;-14,87%
01-04-21;4181,17;236,48;;5,24%;6,22%;;2,24%;3,22%
01-03-21;3972,89;222,64;;4,24%;-1,12%;;1,24%;-4,12%
01-02-21;3811,15;225,17;;2,61%;-14,87%;;-0,39%;-17,87%
01-01-21;3714,24;264,51;;-1,11%;12,45%;;-4,11%;9,45%
01-12-20;3756,07;235,22;;3,71%;24,32%;;0,71%;21,32%
01-11-20;3621,63;189,2;;10,75%;46,27%;;7,75%;43,27%
01-10-20;3269,96;129,35;;-2,77%;-9,55%;;-5,77%;-12,55%
01-09-20;3363;143;;-3,92%;-13,91%;;-6,92%;-16,91%
01-08-20;3500,31;166,11;;7,01%;74,16%;;4,01%;71,16%
01-07-20;3271,12;95,38;;5,51%;32,49%;;2,51%;29,49%
01-06-20;3100,29;71,99;;1,84%;29,32%;;-1,16%;26,32%
01-05-20;3044,31;55,67;;4,53%;6,79%;;1,53%;3,79%
01-04-20;2912,43;52,13;;12,68%;49,24%;;9,68%;46,24%
01-03-20;2584,59;34,93;;-12,51%;-21,56%;;-15,51%;-24,56%
01-02-20;2954,22;44,53;;-8,41%;2,67%;;-11,41%;-0,33%
01-01-20;3225,52;43,37;;-0,16%;55,50%;;-3,16%;52,50%
01-12-19;3230,78;27,89;;2,86%;26,77%;;-0,14%;23,77%
01-11-19;3140,98;22;;3,40%;4,81%;;0,40%;1,81%
01-10-19;3037,56;20,99;;2,04%;30,70%;;-0,96%;27,70%
01-09-19;2976,74;16,06;;1,72%;6,78%;;-1,28%;3,78%
01-08-19;2926,46;15,04;;-1,81%;-6,64%;;-4,81%;-9,64%
01-07-19;2980,38;16,11;;1,31%;8,12%;;-1,69%;5,12%
01-06-19;2941,76;14,9;;6,89%;20,75%;;3,89%;17,75%
01-05-19;2752,06;12,34;;-6,58%;-22,44%;;-9,58%;-25,44%
01-04-19;2945,83;15,91;;3,93%;-14,74%;;0,93%;-17,74%
01-03-19;2834,4;18,66;;1,79%;-12,52%;;-1,21%;-15,52%
01-02-19;2784,49;21,33;;2,97%;4,20%;;-0,03%;1,20%
01-01-19;2704,1;20,47;;7,87%;-7,75%;;4,87%;-10,75%
01-12-18;2506,85;22,19;;-9,18%;-5,05%;;-12,18%;-8,05%
01-11-18;2760,17;23,37;;1,79%;3,91%;;-1,21%;0,91%